agency,year,state,population,ORI,male_employees_officers,female_employees_officers,total_employees_officers,male_employees_civilians,female_employees_civilians,total_employees_civilians,male_employees_total,female_employees_total,total_employees_total,officers_killed_by_felony,officers_killed_by_accident,assaults_with_injury_gun,assaults_with_injury_knife,assaults_with_injury_oth_weap,assaults_with_injury_unarmed,assaults_with_injury_total,assaults_no_injury_gun,assaults_no_injury_knife,assaults_no_injury_oth_weap,assaults_no_injury_unarmed,assaults_no_injury_total,ambush_total_assaults,oth_arrest_total_assaults,burglary_total_assaults,deranged_total_assaults,disturbance_total_assaults,prisoner_total_assaults,riot_total_assaults,robbery_total_assaults,susp_pers_total_assaults,traffic_total_assaults,all_other_total_assaults,total_assaults_total,total_assault_gun,total_assault_knife,total_assault_oth_weap,total_assault_unarmed,ambush_assault_gun,ambush_assault_knife,ambush_assault_oth_weap,ambush_assault_unarmed,oth_arrest_assault_gun,oth_arrest_assault_knife,oth_arrest_assault_oth_weap,oth_arrest_assault_unarmed,burglary_assault_gun,burglary_assault_knife,burglary_assault_oth_weap,burglary_assault_unarmed,deranged_assault_gun,deranged_assault_knife,deranged_assault_oth_weap,deranged_assault_unarmed,disturbance_assault_gun,disturbance_assault_knife,disturbance_assault_oth_weap,disturbance_assault_unarmed,prisoner_assault_gun,prisoner_assault_knife,prisoner_assault_oth_weap,prisoner_assault_unarmed,riot_assault_gun,riot_assault_knife,riot_assault_oth_weap,riot_assault_unarmed,robbery_assault_gun,robbery_assault_knife,robbery_assault_oth_weap,robbery_assault_unarmed,susp_pers_assault_gun,susp_pers_assault_knife,susp_pers_assault_oth_weap,susp_pers_assault_unarmed,traffic_assault_gun,traffic_assault_knife,traffic_assault_oth_weap,traffic_assault_unarmed,all_other_assault_gun,all_other_assault_knife,all_other_assault_oth_weap,all_other_assault_unarmed
Soddy Daisy Police Department,2017,Tennessee,13264,TN03306,29,1,30,1,6,7,30,7,37,0,0,0,0,0,2,2,0,1,4,4,9,0,2,1,0,2,0,1,0,1,3,1,11,0,1,4,6,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1
Soddy Daisy Police Department,2016,Tennessee,13215,TN03306,27,2,29,2,5,7,29,7,36,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Soddy Daisy Police Department,2015,Tennessee,13250,TN03306,28,2,30,2,5,7,30,7,37,0,0,1,0,0,0,1,0,0,7,0,7,0,0,0,0,7,0,0,0,0,1,0,8,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Soddy Daisy Police Department,2014,Tennessee,13170,TN03306,28,2,30,2,4,6,30,6,36,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soddy Daisy Police Department,2013,Tennessee,13004,TN03306,26,1,27,1,4,5,27,5,32,0,0,0,0,2,3,5,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,3,6,0,0,2,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Soddy Daisy Police Department,2012,Tennessee,12989,TN03306,29,1,30,1,4,5,30,5,35,0,0,1,0,0,1,2,4,0,0,4,8,0,3,0,0,3,0,0,0,0,2,2,10,5,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0
Soddy Daisy Police Department,2011,Tennessee,12829,TN03306,24,1,25,2,3,5,26,4,30,0,0,0,0,0,4,4,0,0,0,5,5,0,1,0,0,5,0,0,0,1,2,0,9,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
Soddy Daisy Police Department,2010,Tennessee,12714,TN03306,24,1,25,2,4,6,26,5,31,0,0,0,0,0,2,2,0,0,1,1,2,0,2,0,0,1,0,0,0,0,1,0,4,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Soddy Daisy Police Department,2009,Tennessee,12624,TN03306,24,2,26,2,5,7,26,7,33,0,0,0,0,0,2,2,3,0,1,5,9,0,0,0,0,0,0,3,0,3,2,3,11,3,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,1,3,0,0,0
Soddy Daisy Police Department,2008,Tennessee,12407,TN03306,22,2,24,1,5,6,23,7,30,0,0,0,0,0,2,2,1,0,0,1,2,0,0,0,0,1,0,0,0,1,2,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
