agency,year,state,population,ORI,total_officers,female_employees_officers,male_employees_officers,total_civilians,female_employees_civilians,male_employees_civilians,officers_killed_accident,officers_killed_felony,assault_injury_total,assault_injury_gun,assault_injury_knife,assault_injury_hand_feet,assault_injury_other,assault_no_injury_total,assault_no_injury_gun,assault_no_injury_knife,assault_no_injury_hand_feet,assault_no_injury_other,total_assault_total,total_assault_gun,total_assault_knife,total_assault_hand_feet,total_assault_other,all_oth_total_assault,ambush_total_assault,att_oth_arrest_total_assault,burglary_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,deranged_total_assault,disturbance_total_assault,robbery_total_assault,susp_pers_total_assault,traffic_total_assault
Star City Police Department,1979,Arkansas,2012,AR04002,3,0,3,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star City Police Department,1980,Arkansas,2060,AR04002,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star City Police Department,1981,Arkansas,2069,AR04002,2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star City Police Department,1982,Arkansas,2066,AR04002,2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star City Police Department,1983,Arkansas,2099,AR04002,3,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star City Police Department,1984,Arkansas,2142,AR04002,3,0,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Star City Police Department,1985,Arkansas,2151,AR04002,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star City Police Department,1986,Arkansas,2093,AR04002,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star City Police Department,1987,Arkansas,2044,AR04002,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star City Police Department,1988,Arkansas,2043,AR04002,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
