agency,year,state,population,ORI,total_officers,female_employees_officers,male_employees_officers,total_civilians,female_employees_civilians,male_employees_civilians,officers_killed_accident,officers_killed_felony,assault_injury_total,assault_injury_gun,assault_injury_knife,assault_injury_hand_feet,assault_injury_other,assault_no_injury_total,assault_no_injury_gun,assault_no_injury_knife,assault_no_injury_hand_feet,assault_no_injury_other,total_assault_total,total_assault_gun,total_assault_knife,total_assault_hand_feet,total_assault_other,all_oth_total_assault,ambush_total_assault,att_oth_arrest_total_assault,burglary_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,deranged_total_assault,disturbance_total_assault,robbery_total_assault,susp_pers_total_assault,traffic_total_assault
Emporia State University Police Department,2016,Kansas,0,KS05602,8,0,8,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emporia State University Police Department,2015,Kansas,0,KS05602,9,0,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emporia State University Police Department,2014,Kansas,0,KS05602,8,0,8,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emporia State University Police Department,2013,Kansas,0,KS05602,8,1,7,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emporia State University Police Department,2012,Kansas,0,KS05602,9,1,8,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emporia State University Police Department,2011,Kansas,0,KS05602,9,1,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emporia State University Police Department,2010,Kansas,0,KS05602,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emporia State University Police Department,2009,Kansas,0,KS05602,9,1,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emporia State University Police Department,2008,Kansas,0,KS05602,9,1,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emporia State University Police Department,2007,Kansas,0,KS05602,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emporia State University Police Department,2006,Kansas,0,KS05602,9,1,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emporia State University Police Department,2005,Kansas,0,KS05602,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emporia State University Police Department,2004,Kansas,0,KS05602,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emporia State University Police Department,2003,Kansas,0,KS05602,9,1,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Emporia State University Police Department,2002,Kansas,0,KS05602,9,1,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emporia State University Police Department,2001,Kansas,0,KS05602,10,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emporia State University Police Department,2000,Kansas,0,KS05602,10,1,9,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emporia State University Police Department,1999,Kansas,0,KS05602,9,1,8,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
