agency,year,state,population,ORI,total_officers,female_employees_officers,male_employees_officers,total_civilians,female_employees_civilians,male_employees_civilians,officers_killed_accident,officers_killed_felony,assault_injury_total,assault_injury_gun,assault_injury_knife,assault_injury_hand_feet,assault_injury_other,assault_no_injury_total,assault_no_injury_gun,assault_no_injury_knife,assault_no_injury_hand_feet,assault_no_injury_other,total_assault_total,total_assault_gun,total_assault_knife,total_assault_hand_feet,total_assault_other,all_oth_total_assault,ambush_total_assault,att_oth_arrest_total_assault,burglary_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,deranged_total_assault,disturbance_total_assault,robbery_total_assault,susp_pers_total_assault,traffic_total_assault
Maryville Police Dept,1975,Illinois,1290,IL06012,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryville Police Dept,1976,Illinois,1291,IL06012,3,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryville Police Dept,1977,Illinois,1669,IL06012,3,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryville Police Dept,1978,Illinois,1634,IL06012,4,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryville Police Dept,1979,Illinois,1714,IL06012,4,0,4,1,1,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
Maryville Police Dept,1980,Illinois,1928,IL06012,4,0,4,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryville Police Dept,1981,Illinois,1945,IL06012,4,0,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryville Police Dept,1982,Illinois,1944,IL06012,4,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryville Police Dept,1983,Illinois,1950,IL06012,4,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryville Police Dept,1984,Illinois,1998,IL06012,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
