agency,year,state,population,ORI,total_officers,female_employees_officers,male_employees_officers,total_civilians,female_employees_civilians,male_employees_civilians,officers_killed_accident,officers_killed_felony,assault_injury_total,assault_injury_gun,assault_injury_knife,assault_injury_hand_feet,assault_injury_other,assault_no_injury_total,assault_no_injury_gun,assault_no_injury_knife,assault_no_injury_hand_feet,assault_no_injury_other,total_assault_total,total_assault_gun,total_assault_knife,total_assault_hand_feet,total_assault_other,all_oth_total_assault,ambush_total_assault,att_oth_arrest_total_assault,burglary_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,deranged_total_assault,disturbance_total_assault,robbery_total_assault,susp_pers_total_assault,traffic_total_assault
Hartington Police Dept,1975,Nebraska,1501,NB01401,2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartington Police Dept,1976,Nebraska,1529,NB01401,2,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Hartington Police Dept,1977,Nebraska,1612,NB01401,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hartington Police Dept,1978,Nebraska,1502,NB01401,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartington Police Dept,1979,Nebraska,1582,NB01401,2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartington Police Dept,1980,Nebraska,1722,NB01401,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hartington Police Dept,1981,Nebraska,1735,NB01401,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hartington Police Dept,1982,Nebraska,1746,NB01401,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hartington Police Dept,1983,Nebraska,1758,NB01401,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hartington Police Dept,1984,Nebraska,1705,NB01401,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hartington Police Dept,1985,Nebraska,1716,NB01401,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartington Police Dept,1986,Nebraska,1720,NB01401,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartington Police Dept,1987,Nebraska,1616,NB01401,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartington Police Dept,1988,Nebraska,1597,NB01401,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartington Police Dept,1989,Nebraska,1619,NB01401,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartington Police Dept,1990,Nebraska,1583,NB01401,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartington Police Dept,1998,Nebraska,1630,NB01401,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
