agency,year,state,population,ORI,total_officers,female_employees_officers,male_employees_officers,total_civilians,female_employees_civilians,male_employees_civilians,officers_killed_accident,officers_killed_felony,assault_injury_total,assault_injury_gun,assault_injury_knife,assault_injury_hand_feet,assault_injury_other,assault_no_injury_total,assault_no_injury_gun,assault_no_injury_knife,assault_no_injury_hand_feet,assault_no_injury_other,total_assault_total,total_assault_gun,total_assault_knife,total_assault_hand_feet,total_assault_other,all_oth_total_assault,ambush_total_assault,att_oth_arrest_total_assault,burglary_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,deranged_total_assault,disturbance_total_assault,robbery_total_assault,susp_pers_total_assault,traffic_total_assault
Boiling Spring Lakes Police Department,2016,North Carolina,5873,NC01005,12,1,11,1,1,0,0,0,0,0,0,0,0,4,0,0,3,1,4,0,0,3,1,0,0,1,0,0,0,0,2,0,0,1
Boiling Spring Lakes Police Department,2015,North Carolina,5767,NC01005,12,1,11,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boiling Spring Lakes Police Department,2014,North Carolina,5672,NC01005,10,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boiling Spring Lakes Police Department,2013,North Carolina,5546,NC01005,10,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Boiling Spring Lakes Police Department,2012,North Carolina,5561,NC01005,7,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boiling Spring Lakes Police Department,2011,North Carolina,5440,NC01005,8,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boiling Spring Lakes Police Department,2010,North Carolina,5372,NC01005,8,0,8,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
Boiling Spring Lakes Police Department,2009,North Carolina,4920,NC01005,8,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boiling Spring Lakes Police Department,2008,North Carolina,4773,NC01005,9,0,9,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boiling Spring Lakes Police Department,2007,North Carolina,4637,NC01005,7,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
